装備名,装備番号,レアリティ,体力,攻撃力,防御力,会心率,回避率,命中率,アビリティ,アビリティカテゴリ
侠のサラシ・極,K001,KSR,1781,,205,,,,,
葛城のコート,K002,KSR,,,645,,,8.3,HP50％以上の時ヒートアクションCT6％加速,HACT加速
遥のアイドル衣装(Ⅱ),K003,KSR,3170,,,,9,,ドンパチ・タイマン時に通常攻撃時10%の確率で4.0秒間の魅了付与,状態異常付与
鶴見のコート,K004,KSR,3160,,,,8.8,,敵生存人数が3人以上のとき攻撃力12%上昇,攻撃力上昇
白石の服,K005,KSR,2760,,,,8.5,,自身が状態異常時に回避率が10％上昇,回避率上昇
秋山のシャツ,K006,KSR,,,493,,,12.6,街の住人の特性を持つ味方が3人以上のときスキルCTを6%加速,BSCT加速
相沢のスーツ,K007,KSR,2748,,669,,,,骨折状態の敵の攻撃力を20％減少,敵攻撃ダウン
清美のワンピース,K008,KSR,3160,,,,,11.1,通常攻撃時16%の確率で敵の攻撃力を5秒間-18%減少,敵攻撃ダウン
最強予防のマスク,K009,KSR,2500,,800,,,,自身へ5%分状態異常を除く全ダメージカット,ダメージカット
錦山のジャケット,K010,KSR,,,640,9.7,,,東城会の特性を持つ味方が3人以上のとき防御力を16%上昇,防御力上昇
瓦のジャケット,K011,KSR,2832,,,10.5,,,有利属性への攻撃力を10％上昇,攻撃力上昇
伊達のエプロン,K012,KSR,,,473,,,13.7,通常攻撃時にヒートゲージ上昇量12%上昇,ヒートゲージ上昇
遥のアイドル衣装(Ⅲ),K013,KSR,2405,295,,,,,回復時、自身の攻撃力を3秒間12%上昇,攻撃力上昇
勝矢のジャケット,K014,KSR,3808,,,,7.7,,HP50％以上のときスキルCT6％加速,BSCT加速
真島建設のヘルメット・極,K015,KSR,,296,680,,,,状態異常になる確率を-10％減少,被状態異常確率低減
峯のスーツ,K016,KSR,3808,,,7.5,,,全状態異常の敵に対して攻撃力が12％上昇,攻撃力上昇
浪漫の鎧・精龍,K017,KSR,2000,,900,,,,心属性の自身へ不死(5％で致死ダメージをHP1で耐える)と状態異常になる確率を5%減少,不死，被状態異常確率低減
浪漫の鎧・匠龍,K018,KSR,2000,,900,,,,技属性の自身へ不死(5％で致死ダメージをHP1で耐える)と状態異常になる確率を5%減少,不死，被状態異常確率低減
浪漫の鎧・壮龍,K019,KSR,2000,,900,,,,体属性の自身へ不死(5％で致死ダメージをHP1で耐える)と状態異常になる確率を5%減少,不死，被状態異常確率低減
浪漫の鎧・輝龍,K020,KSR,2000,,900,,,,陽属性の自身へ不死(5％で致死ダメージをHP1で耐える)と状態異常になる確率を5%減少,不死，被状態異常確率低減
浪漫の鎧・黒龍,K021,KSR,2000,,900,,,,陰属性の自身へ不死(5％で致死ダメージをHP1で耐える)と状態異常になる確率を5%減少,不死，被状態異常確率低減
レイドジャケット,K022,KSR,,,476,,,12.9,被特殊効果確率を-8%減少,被特殊効果確率低減
ホロスーツ,K023,KSR,3000,,535,,,,バトル開始時に自身のHPを12%回復,回復
ナンバのスーツ,K024,KSR,3050,,550,,,,ヒートゲージ3以下のときスキルCT8%加速,BSCT加速
芹沢のコート,K025,KSR,2805,,650,,,,ヒートアクションの攻撃力を16％上昇,攻撃力上昇
春日のジャケット・極,K026,KSR,3005,,,6,,,味方生存人数×5%会心威力を上昇,会心威力上昇
趙のジャケット,K027,KSR,,,621,9,,,被特殊効果確率を-8%減少,被特殊効果確率低減
真弓のベスト,K028,KSR,3297,,,,,10.6,街の住人特性を持つ味方3人以上のときスキルCT8％加速,BSCT加速
谷村のシャツ,K029,KSR,3785,,382,,,,被ダメージ時18%の確率で防御力が6.0秒間5%ずつ上昇,防御力上昇
