装備名,装備番号,レアリティ,体力,攻撃力,防御力,会心率,回避率,命中率,アビリティ,アビリティカテゴリ
龍の鉄拳・極,K001,KSR,,323,,11.7,,,,
釘原のナイフ,K002,KSR,,610,,,,10.8,ドンパチ・タイマン時に東城会の特性を持つ敵が2人以上のときスキルCTを8%加速,BSCT加速
真島の解体用ペンチ,K003,KSR,,615,,5.9,,,体属性の味方人数×5%攻撃力上昇,攻撃力上昇
アシリパの弓,K004,KSR,,511,,,,11.4,通常攻撃時18%の確率で3.0秒間の麻痺付与,状態異常付与
尾形の銃,K005,KSR,,533,,9.3,,,街の住人の特性を持つ敵人数×5.0%会心率を上昇(ドンパチ・タイマン時),会心率上昇
杉本の銃剣,K006,KSR,,602,522,,,,会心威力16%上昇,会心威力上昇
谷垣の村田銃,K007,KSR,,503,,,,10.5,状態異常になる確率-5%減少,被状態異常確率低減
三國のハンドガン・極,K008,KSR,,611,,10.2,,,全状態異常の敵に対して攻撃力20%上昇,攻撃力上昇
染谷の日本刀,K009,KSR,,690,,7.5,,,組長の特性を持つ味方が3人以上のとき攻撃力を12%上昇,攻撃力上昇
勇者のバット,K010,KSR,,800,,7.0,,,自身へ5%分状態異常を除く全ダメージ増加,ダメージ増加
狭山の拳銃,K011,KSR,,551,,,,11.6,公務員の特性を持つ味方が3人以上のとき攻撃力を12%上昇,攻撃力上昇
寺田の短機関銃,K012,KSR,,588,,,9.3,,一度のBSやHACTで与える敵への複数回攻撃のダメージが2撃目以降1撃ごとに1撃前より与えるダメージが5%上昇(最高値のみ適用),連打増幅
峯の拳銃,K013,KSR,,451,,8.2,,,通常攻撃時10%の確率で出血付与(10秒間でHP10%減少),状態異常付与
久瀬のメリケンサック・極,K014,KSR,,345,,12.5,,,麻痺状態になる確率を-20%減少,被状態異常確率低減
妖刀　村正・精龍,K015,KSR,,750,,8.0,,,心属性の自身へスキルCT8%加速とBSのヒートゲージ上昇量15%上昇,BSCT加速，ヒートゲージ上昇
妖刀　村正・匠龍,K016,KSR,,750,,8.0,,,技属性の自身へスキルCT8%加速とBSのヒートゲージ上昇量15%上昇,BSCT加速，ヒートゲージ上昇
妖刀　村正・壮龍,K017,KSR,,750,,8.0,,,体属性の自身へスキルCT8%加速とBSのヒートゲージ上昇量15%上昇,BSCT加速，ヒートゲージ上昇
妖刀　村正・輝龍,K018,KSR,,750,,8.0,,,陽属性の自身へスキルCT8%加速とBSのヒートゲージ上昇量15%上昇,BSCT加速，ヒートゲージ上昇
妖刀　村正・黒龍,K019,KSR,,750,,8.0,,,陰属性の自身へスキルCT8%加速とBSのヒートゲージ上昇量15%上昇,BSCT加速，ヒートゲージ上昇
エリミネーター,K020,KSR,,674,,7.7,,,ヒートゲージ3以上のとき攻撃力14%上昇,攻撃力上昇
槙島のカミソリ,K021,KSR,,558,,,9.3,,通常攻撃時15%の確率で5.0秒間のスキルCTを8％減速,BSCT加速
征陸のリボルバー,K022,KSR,,516,,9.0,,,公務員の特性を持つ味方が3人以上のとき防御力を8%上昇,防御力上昇
パラライザー,K023,KSR,,430,,5.9,,,通常攻撃時8％の確率で3.0秒間の麻痺付与,状態異常付与
御前の薙刀,K024,KSR,,600,,5.9,,,攻撃タイプの味方人数×5%攻撃力上昇,攻撃力上昇
囚人のフォーク・極,K025,KSR,,661,,5.9,,,通常攻撃時14%の確率で敵の攻撃力を8秒間-16%減少,敵攻撃ダウン
殴るな危険,K026,KSR,,560,,,,10.9,バトル開始時にもっとも攻撃力の高い味方の攻撃力を10%上昇,攻撃力上昇
柴八戒の小刀,K027,KSR,1997,516,,,,,異界の特性を持つ味方が2人以上のとき速度を10%上昇,速度上昇
冴島の猟銃・極,K028,KSR,,610,,,,10.4,有利属性への攻撃力を10%上昇,攻撃力上昇
小清水のドス,K029,KSR,,604,,7.9,,,防御タイプの敵人数×6%攻撃力上昇,攻撃力上昇
龍司の刀・極,K030,KSR,,550,,,,10.7,東城会の特性を持つ敵の人数×5%会心率上昇,会心率上昇
鬼炎のドス・極,K031,KSR,,632,,,,9.9,東城会の特性を持つ味方が3人以上のとき攻撃力を12%上昇,攻撃力上昇
錦山のナイフ・極,K032,KSR,,501,,,,11.0,攻撃タイプの敵人数×5%防御力上昇,防御力上昇
世良の消音銃,K033,KSR,2000,610,,,,,東城会の特性を持つ味方が2人以上のとき自身のスキルCTを8%加速,BSCT加速
消化器,K034,KSR,1900,,500,,,,HP50%以上のときスキルCT8％加速,BSCT加速
久米のメガホン,K035,KSR,,510,,,7.6,,通常攻撃時16％の確率で3.0秒間の混乱付与,状態異常付与
染谷の刀・極,K036,KSR,,570,,,,9.3,味方生存者3人以上のときヒートアクションCT6％加速,HACT加速
国産回転式拳銃,K037,KSR,,629,,6.0,,,通常攻撃時のヒートゲージ上昇量12%上昇,ヒートゲージ上昇
正宗,K038,KSR,,650,,,,9.5,ヒートゲージ3以下のときスキルCT8%加速,BSCT加速
