装備名,装備番号,レアリティ,体力,攻撃力,防御力,会心率,回避率,命中率,アビリティ,アビリティカテゴリ
龍の瞳・極,K001,KSR,,,,,6.8,8.8,,
北織新聞,K002,KSR,3253,,,8.2,,,ドンパチ・タイマン時に攻撃タイプの敵の会心率を5%減少,敵会心率ダウン
ユリのマフラー,K003,KSR,,,610,,8.8,,攻撃タイプの敵人数×速度を6%上昇,速度上昇
朴の万年筆,K004,KSR,,,590,,,11.7,状態異常になる確率を-10％減少,被状態異常確率低減
杉元の軍帽,K005,KSR,3000,,,,,9.8,敵生存人数が3人以上のとき防御力6%上昇,防御力上昇
ハンのネックレス,K006,KSR,3595,503,,,,,残HP50％以上の時ヒートアクションの攻撃力を16％上昇,攻撃力上昇
郷龍会の代紋,K007,KSR,3073,,,,,10.8,敵生存人数3人以上のとき攻撃力を12％上昇,攻撃力上昇
高級ベルト,K008,KSR,,600,600,,,,スキルCT5%加速とBSのヒートゲージ上昇量15%上昇,BSCT加速，ヒートゲージ上昇
ヒカルのサーフボード,K009,KSR,3879,,422,,,,女性の味方人数×2.0%回避率を上昇,回避率上昇
ママのネックレス,K010,KSR,3169,,,,9.0,,補助タイプの味方生存者3人以上のとき速度を15％上昇,速度上昇
金生のネクタイ,K011,KSR,3539,,476,,,,通常攻撃時10%の確率で敵の攻撃力を8秒間14%減少,敵攻撃ダウン
金村興業の代紋,K012,KSR,2505,,480,,,,敵生存人数×6%防御力上昇,防御力上昇
浪漫の兜・精龍,K013,KSR,,,,,15.0,15.0,心属性の自身へ与状態異常成功確率を15%上昇,状態異常確率上昇
浪漫の兜・匠龍,K014,KSR,,,,,15.0,15.0,技属性の自身へ与状態異常成功確率を15%上昇,状態異常確率上昇
浪漫の兜・壮龍,K015,KSR,,,,,15.0,15.0,体属性の自身へ与状態異常成功確率を15%上昇,状態異常確率上昇
浪漫の兜・輝龍,K016,KSR,,,,,15.0,15.0,陽属性の自身へ与状態異常成功確率を15%上昇,状態異常確率上昇
浪漫の兜・黒龍,K017,KSR,,,,,15.0,15.0,陰属性の自身へ与状態異常成功確率を15%上昇,状態異常確率上昇
宜野座のメガネ,K018,KSR,,,,9.5,,11.1,全状態異常中の敵に対して攻撃力が12%上昇,攻撃力上昇
