装備名,装備番号,レアリティ,体力,攻撃力,防御力,会心率,回避率,命中率,アビリティ,アビリティカテゴリ
龍の鉄拳,S001,SSR,,176,,11.7,,,,
ロケットランチャー,S002,SSR,,323,,3.9,,,,
鬼炎のドス,S003,SSR,,117,,15.6,,,,
応龍のトンファー,S004,SSR,,382,,,,,,
DORAGON-SP,S005,SSR,,235,,7.8,,,,
沢城の刀,S006,SSR,,432,,,,,会心時の攻撃力を16%上昇,会心威力上昇
風間の杖,S007,SSR,1754,,,,,,敵味方全体の攻撃タイプ×5％防御力上昇,防御力上昇
Model2,S008,SSR,,445,,,,,会心時の攻撃力を18％上昇,会心威力上昇
天龍神馬,S009,SSR,635,387,,,,,麻痺状態になる確率を-12％減少,被状態異常確率低減
カムロップステッキ,S010,SSR,,397,,,,,打撲が成功する確率を10％上昇,状態異常確率上昇
怨恨バット,S011,SSR,,244,,8,,,通常攻撃時10％の確率で敵の攻撃力を8秒間-14％減少,敵攻撃ダウン
羅刹のトンファー,S012,SSR,,120,,16,,,通常攻撃時10％の確率で敵の防御力を8秒間-14％減少,敵防御ダウン
超強力殺虫スプレー,S013,SSR,,343,,5.9,,,通常攻撃時15%の確率で敵の回避率を8秒間15%減少,敵回避率ダウン
鉄砲玉のドス,S014,SSR,,466,,,,,,
御禁制仕込み鉄甲,S015,SSR,,,,14,,13,,
金色バット,S016,SSR,,166,,16,,,クエストクリア時の資金獲得量が10％上昇,資金獲得量上昇
真島建設のツルハシ,S017,SSR,,432,,,,,会心時の攻撃力を14％上昇,会心威力上昇
三國のハンドガン,S018,SSR,,389,,13.7,,,全状態異常中の敵に対して攻撃力が20％上昇,攻撃力上昇
バクハイ,S019,SSR,,161,,13.7,,,麻痺状態になる確率を-12%減少,被状態異常確率低減
虎徹,S020,SSR,,196,,16.6,,,自パーティの体属性キャラクター1体につき攻撃力が5%上昇,攻撃力上昇
氏繁,S021,SSR,,345,,6.8,,,自パーティの技属性キャラクター1体につき攻撃力が5%上昇,攻撃力上昇
国崩し,S022,SSR,,453,,,,,自パーティの心属性キャラクター1体につき攻撃力が5%上昇,攻撃力上昇
菊一文字,S023,SSR,,482,,,,,出血が成功する確率を10%上昇,状態異常確率上昇
Model14,S024,SSR,,473,,,,12.1,通常攻撃時12%の確率で6秒間の回復不可付与,状態異常付与
ゴールドマイク,S025,SSR,,281,,12.7,,,通常攻撃時14%の確率で敵の攻撃力を8秒間-16％減少,敵攻撃ダウン
ヤードビール,S026,SSR,,340,,5.9,,,通常攻撃時14%の確率で敵の防御力を8秒間-16％減少,敵防御ダウン
久瀬のメリケンサック,S027,SSR,,205,,16.6,,,麻痺状態になる確率を-10％減少,被状態異常確率低減
サイリウム,S028,SSR,1296,,305,,,,HP50%以上のときスキルクールタイムが8%上昇,BSCT加速
西谷のドス,S029,SSR,,383,,,,,攻撃時15%の確率でHPが16%回復,回復
ビーチパラソル,S030,SSR,2004,,,,,,状態異常になる確率を-6%減少,被状態異常確率低減
風間の二丁拳銃,S031,SSR,,403,,,,9.2,自身の8.0%回避率上昇,回避率上昇
囚人のフォーク,S032,SSR,,355,,5.9,,,通常攻撃時14%の確率で敵の攻撃力を8秒間-16%減少,敵攻撃ダウン
由美のナイフ,S033,SSR,1280,202,,,,,麻痺になる確率を-12%減少,被状態異常確率低減
祭りの大筒,S034,SSR,,257,,14.6,,,バトルスキルのヒートゲージ上昇量20%上昇,ヒートゲージ上昇
高島の拳銃,S035,SSR,,364,,,,9,混乱状態の敵に対して攻撃力が20%上昇,攻撃力上昇
龍司の刀,S036,SSR,,403,,3.4,,,通常攻撃時8%の確率で4.0秒間の麻痺付与,状態異常付与
浜崎の中華包丁,S037,SSR,,374,,,,7.8,通常攻撃時12%の確率で敵の防御力を10秒間-12%減少,敵防御ダウン
ラウ・カーロンの鉤爪,S038,SSR,,374,,,4.9,,出血状態の敵に対して攻撃力が20%上昇,攻撃力上昇
谷村のリボルバー,S039,SSR,,,378,10.7,,,通常攻撃時12%の確率で6.0秒間の封印付与,状態異常付与
冴島の六丁拳銃,S040,SSR,,359,,,,12.7,通常攻撃時10%の確率で打撲付与（10秒間で3000ダメージ）,状態異常付与
真島のバット,S041,SSR,,281,,12.7,,,通常攻撃時12%の確率で敵の攻撃力を8秒間-16%減少,敵攻撃ダウン
真島の黒革手袋,S042,SSR,,340,,5.2,,,通常攻撃時12%の確率で敵の防御力を8秒間-16%減少,敵防御ダウン
真島組の謹製ナックル,S043,SSR,,127,,16.6,,,,
真島組の謹製手榴弾,S044,SSR,,335,,3.9,,,,
真島のバット・攻,S045,SSR,,380,,,,,,
冴島の猟銃,S046,SSR,,281,,12.7,,,通常攻撃時12%の確率で敵の攻撃力を8秒間-16%減少,敵攻撃ダウン
冴島の木彫りセット,S047,SSR,,340,,5.2,,,通常攻撃時12%の確率で敵の防御力を8秒間-16%減少,敵防御ダウン
冴島組の謹製ナックル,S048,SSR,,127,,16.6,,,,
冴島組の謹製手榴弾,S049,SSR,,335,,3.9,,,,
冴島の猟銃・攻,S050,SSR,,380,,,,,,
大吾の拳銃,S051,SSR,,281,,12.7,,,通常攻撃時12%の確率で敵の攻撃力を8秒間-16%減少,敵攻撃ダウン
